url,label
br-icloud.com.br,Unsafe
mp3raid.com/music/krizz_kaliko.html,Safe
bopsecrets.org/rexroth/cr/1.htm,Safe
http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,Unsafe
http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkP,Unsafe
http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,Safe
espn.go.com/nba/player/_/id/3457/brandon-rush,Safe
yourbittorrent.com/?q=anthony-hamilton-soulife,Safe
http://www.pashminaonline.com/pure-pashminas,Unsafe
allmusic.com/album/crazy-from-the-heat-r16990,Safe
corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,Safe
http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,Unsafe
myspace.com/video/vid/30602581,Safe
http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,Unsafe
http://www.szabadmunkaero.hu/cimoldal.html?start=12,Unsafe
http://larcadelcarnevale.com/catalogo/palloncini,Unsafe
quickfacts.census.gov/qfd/maps/iowa_map.html,Safe
nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,Safe
uk.linkedin.com/pub/steve-rubenstein/8/718/755,Safe
http://www.vnic.co/khach-hang.html,Unsafe
baseball-reference.com/players/h/harrige01.shtml,Safe
signin.eby.de.zukruygxctzmmqi.civpro.co.za,Unsafe
192.com/atoz/people/oakley/patrick/,Safe
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,Safe
escholarship.org/uc/item/5xt4952c,Safe
songfacts.com/detail.php?id=13410,Safe
casamanana.org/education/blba/,Safe
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,Safe
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,Unsafe
en.wikipedia.org/wiki/North_Dakota,Safe
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,Safe
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,Safe
media.caltech.edu/press_releases/13186,Safe
wikiobits.com/Obits/TonyProudfoot,Safe
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,Safe
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,Unsafe
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,Safe
cyndislist.com/us/pa/counties,Safe
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,Unsafe
http://www.raci.it/component/user/reset.html,Unsafe
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,Unsafe
psychology.wikia.com/wiki/Phonemes,Safe
info.centriq.com/content/fivereasons,Safe
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,Safe
infinitysw.com/,Safe
strawberrycreekgardens.com/,Safe
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,Unsafe
spoke.com/dir/p/desantis/nick,Safe
wordsmith.org/words/pignus.html,Safe
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,Safe
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,Unsafe
http://www.kingsmillshotel.com/spring/mothers-day,Unsafe
almanac.logos.com/Denominations,Safe
gaming.wikia.com/wiki/Backbreaker_(video_game),Safe
ceu.hu/,Safe
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,Safe
linkedin.com/pub/george-cleveland/7/80a/599,Safe
sunshinemills.com/,Safe
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,Safe
ctv.ca/generic/WebSpecials/sponsorship_scandal/,Safe
http://www.approvi.com.br/ck.htm,Unsafe
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,Unsafe
veoox.com/tags/game.html,Safe
chuckwalkertrio.blogspot.com/,Safe
aerosolesshoes.org/,Safe
http://www.juventudelirica.com.br/index.html,Unsafe
http://www.myenrg.com/southwest/9-texas,Unsafe
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,Safe
http://www.musimagen.com/lista_socios.php?letra=\303%91,Unsafe
ideas.repec.org/f/pma235.html,Safe
peopleaz.org/firstname/Fowlkes/6,Safe
orensamtraktrip.wordpress.com/,Safe
retajconsultancy.com,Unsafe
alexa.com/whatshot?q=james+arness,Safe
jpopasia.com/group/arashi/discography/,Safe
kitsapsun.com/photos/2011/feb/25/177999/,Safe
local.yahoo.com/info-42862457-oakland-international-airport-oakland,Safe
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,Safe
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,Safe
broadwaystars.com/classic/?source=www.playbill.com,Safe
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,Unsafe
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,Safe
youtube.com/watch?v=mwpoPQ1SPJU,Safe
mccall-idchamber.org/,Safe
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,Safe
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,Safe
http://asociacionkaribu.org/index.php/servicios/centro-jambo,Unsafe
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,Unsafe
pipl.com/directory/name/Whissell/180,Safe
spokeo.com/John+Collet,Safe
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,Unsafe
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%b,Safe
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,Safe
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,Safe
alexpay2.beget.tech,Unsafe
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,Safe
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,Unsafe
en.wikipedia.org/wiki/Lloyd_Bacon,Safe
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,Safe
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,Unsafe
ciajfk.com/harold.html,Safe
http://www.protect-effect.nl/diensten/62-telefonie,Unsafe
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,Safe
linkedin.com/pub/charles-gariepy/2/642/28,Safe
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,Unsafe
facebook.unitedcolleges.net,Unsafe
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,Unsafe
eyeappealoptometry.com/,Safe
brophygen.com/,Safe
icehockey.wikia.com/wiki/Dan_Blackburn,Safe
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,Safe
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,Unsafe
stewstew.com/,Safe
livingharvest.com/products/ice-cream-bars,Safe
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,Safe
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,Unsafe
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,Safe
http://www.boeuf-soufflenheim.com/de.feed?type=rss,Unsafe
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,Safe
parsippanysoccerclub.org/,Safe
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,Safe
btscene.eu/verified-search/torrent/franco+piersanti/,Safe
signature-editions.com/,Safe
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,Safe
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,Unsafe
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,Safe
halkbankparaf-para.com,Unsafe
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,Safe
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,Safe
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D,Safe
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,Safe
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,Safe
http://www.aba-diagnostic.com/espace-prive/reset.html,Unsafe
msn.foxsports.com/nhl/player/yann-sauve/720461,Safe
hallmark.businessgreetings.com/,Safe
musicstack.com/records-cds/toni+tony+tone,Safe
nudecelebsnow.com/tags/1/victoria+justus.htm,Safe
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,Unsafe
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,Safe
http://www.designeremdoces.com/components/com_contact/ggdrives/,Unsafe
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,Safe
facebook.com/people/Yui-Takeshita/100001611015714,Safe
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,Safe
padmapper.com/search/apartments/Quebec/Montreal-est/,Safe
mrskin.com/christina-ricci-nude-c868.html,Safe
lip-service.com/webzine/tag/post-apocalyptic-fashion/,Safe
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,Unsafe
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,Unsafe
linkedin.com/pub/dir/elizabeth/scarborough,Safe
cqgcr.ca/ang/producer01.php,Safe
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,Safe
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,Safe
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,Safe
startrekcostumes.net/,Safe
en.wikipedia.org/wiki/Neil_Curtis,Safe
music.carowinds.com/,Safe
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,Unsafe
newjersey.craigslist.org/,Safe
roverslands.net,Unsafe
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,Safe
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,Safe
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,Safe
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&c,Unsafe
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,Unsafe
youtube.com/watch?v=K_-bsYE-y08,Safe
myspace.com/jking909,Safe
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,Unsafe
corporacionrossenditotours.com,Unsafe
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,Unsafe
http://www.clinicatecma.es/index.php/densiometria,Unsafe
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,Safe
idlebrain.com/news/functions/engagement-brahmini.html,Safe
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,Safe
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,Safe
perezhilton.com/category/william-shatner/,Safe
fsnaindia.com/,Safe
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,Safe
en.wikipedia.org/wiki/Kenji_Nojima,Safe
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,Safe
greenparty.ca/campaign/24048,Safe
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,Safe
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,Safe
